frame,vehicle_type,estimated_speed,status
1,car,41,OK
1,car,31,OK
1,car,85,OVER-SPEED
1,car,24,OK
1,car,18,OK
1,car,42,OK
1,car,84,OVER-SPEED
1,car,18,OK
1,bus,27,OK
2,car,87,OVER-SPEED
2,car,24,OK
2,car,39,OK
2,car,43,OK
2,car,30,OK
2,car,18,OK
2,car,80,OVER-SPEED
2,car,18,OK
2,bus,27,OK
3,car,23,OK
3,car,87,OVER-SPEED
3,car,43,OK
3,car,29,OK
3,car,39,OK
3,car,77,OVER-SPEED
3,car,20,OK
3,car,17,OK
3,bus,27,OK
4,car,90,OVER-SPEED
4,car,29,OK
4,car,77,OVER-SPEED
4,car,46,OK
4,car,24,OK
4,car,39,OK
4,car,20,OK
4,car,17,OK
4,bus,26,OK
4,truck,26,OK
5,car,48,OK
5,car,23,OK
5,car,75,OVER-SPEED
5,car,28,OK
5,car,87,OVER-SPEED
5,car,38,OK
5,car,21,OK
5,car,17,OK
5,bus,25,OK
6,car,23,OK
6,car,49,OK
6,car,83,OVER-SPEED
6,car,71,OVER-SPEED
6,car,28,OK
6,car,38,OK
6,car,22,OK
6,car,17,OK
6,bus,25,OK
7,car,23,OK
7,car,51,OK
7,car,83,OVER-SPEED
7,car,71,OVER-SPEED
7,car,28,OK
7,car,38,OK
7,car,22,OK
7,bus,25,OK
7,car,17,OK
8,car,80,OVER-SPEED
8,car,23,OK
8,car,71,OVER-SPEED
8,car,53,OK
8,car,26,OK
8,car,37,OK
8,car,22,OK
8,bus,24,OK
8,car,17,OK
9,car,78,OVER-SPEED
9,car,23,OK
9,car,70,OVER-SPEED
9,car,37,OK
9,car,56,OK
9,car,27,OK
9,car,20,OK
9,car,17,OK
9,bus,24,OK
10,car,66,OVER-SPEED
10,car,59,OK
10,car,76,OVER-SPEED
10,car,36,OK
10,car,27,OK
10,car,23,OK
10,car,22,OK
10,car,17,OK
10,bus,23,OK
11,car,72,OVER-SPEED
11,car,61,OVER-SPEED
11,car,65,OVER-SPEED
11,car,28,OK
11,car,23,OK
11,car,35,OK
11,car,17,OK
11,car,25,OK
11,bus,22,OK
12,car,66,OVER-SPEED
12,car,71,OVER-SPEED
12,car,28,OK
12,car,22,OK
12,car,66,OVER-SPEED
12,car,36,OK
12,car,24,OK
12,car,17,OK
13,car,67,OVER-SPEED
13,car,71,OVER-SPEED
13,car,28,OK
13,car,22,OK
13,car,66,OVER-SPEED
13,car,36,OK
13,car,24,OK
13,car,17,OK
14,car,36,OK
14,car,71,OVER-SPEED
14,car,26,OK
14,car,68,OVER-SPEED
14,car,22,OK
14,car,65,OVER-SPEED
14,car,25,OK
14,car,17,OK
15,car,62,OVER-SPEED
15,car,26,OK
15,car,75,OVER-SPEED
15,car,67,OVER-SPEED
15,car,34,OK
15,car,25,OK
15,car,23,OK
15,car,16,OK
15,bus,22,OK
16,car,70,OVER-SPEED
16,car,63,OVER-SPEED
16,car,23,OK
16,car,25,OK
16,car,34,OK
16,car,26,OK
16,car,66,OVER-SPEED
16,car,17,OK
16,truck,24,OK
17,car,59,OK
17,car,59,OK
17,car,31,OK
17,car,61,OVER-SPEED
17,car,28,OK
17,car,24,OK
17,car,23,OK
17,car,17,OK
17,truck,24,OK
18,car,58,OK
18,car,31,OK
18,car,28,OK
18,car,45,OK
18,car,22,OK
18,car,61,OVER-SPEED
18,car,22,OK
18,car,17,OK
18,truck,24,OK
18,bus,24,OK
19,car,58,OK
19,car,31,OK
19,car,28,OK
19,car,45,OK
19,car,22,OK
19,car,61,OVER-SPEED
19,car,22,OK
19,car,17,OK
19,truck,24,OK
20,car,31,OK
20,car,57,OK
20,car,60,OK
20,car,27,OK
20,car,31,OK
20,car,25,OK
20,car,22,OK
20,car,16,OK
21,car,29,OK
21,car,30,OK
21,car,60,OK
21,car,55,OK
21,car,24,OK
21,car,23,OK
21,car,15,OK
21,bus,25,OK
21,truck,24,OK
21,car,16,OK
22,car,30,OK
22,car,57,OK
22,car,32,OK
22,car,54,OK
22,car,22,OK
22,car,23,OK
22,car,16,OK
22,bus,23,OK
23,car,29,OK
23,car,55,OK
23,car,54,OK
23,car,32,OK
23,car,22,OK
23,car,22,OK
23,car,15,OK
23,bus,23,OK
24,car,54,OK
24,car,33,OK
24,car,54,OK
24,car,29,OK
24,car,22,OK
24,car,19,OK
24,car,15,OK
24,bus,22,OK
25,car,54,OK
25,car,33,OK
25,car,54,OK
25,car,29,OK
25,car,22,OK
25,car,19,OK
25,car,15,OK
25,bus,22,OK
26,car,51,OK
26,car,35,OK
26,car,54,OK
26,car,29,OK
26,car,20,OK
26,car,19,OK
26,bus,22,OK
26,car,15,OK
27,car,49,OK
27,car,35,OK
27,car,20,OK
27,car,29,OK
27,car,56,OK
27,car,18,OK
27,bus,22,OK
27,car,15,OK
28,car,38,OK
28,car,49,OK
28,car,19,OK
28,car,29,OK
28,car,50,OK
28,car,19,OK
28,bus,21,OK
28,car,15,OK
29,car,48,OK
29,car,28,OK
29,car,51,OK
29,car,37,OK
29,car,19,OK
